1101,Casablanca,1942,102
1200,Duck Soup,1933,68
5570,From Here to Eternity,1953,118
6601,Wizard of Oz,1939,101
1301,Citizen Kane,1941,119
1350,Animal House,1978,109
5102,Young Frankenstein,1973,106
5234,King Kong,1933,100
1405,My Favorite Brunette,1947,87
2200,Gone with the Wind,1939,226
3103,White Christmas,1954,120
3670,It's a Wonderful Life,1946,130
2345,Public Enemy,1931,84
2870,Jazz Singer,1927,88
4490,Doctor Zhivago,1965,200
4876,Sound of Music,1965,174
8330,Topper,1937,98
9400,Caine Mutiny,1954,125
7109,Sergeant York,1941,134
7405,It Happened One Night,1934,105
